repository_path,read_coverage,purpose,git_blob_sha_when_recorded,url
AsymptoticInverse/Kernel/AsymptoticInverse.wl,successive ranges across main module; targeted re-reads,central algorithms and A01-A04,ea9eaf4a11130e922ac4fb3faae37fd8e8d29643,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/AsymptoticInverse.wl
AsymptoticInverse/Kernel/SeriesOperations.wl,1-320 with overlaps,observable paths and branches,,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/SeriesOperations.wl
AsymptoticInverse/Kernel/SeriesArithmetic.wl,1-290,normalization and arithmetic,,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/SeriesArithmetic.wl
AsymptoticInverse/Kernel/InverseFunctionExpressions.wl,1-130 and 160-end,public wrappers and provenance,200f46ee2994e5b366a1bc169daa58d27861bcdc,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/InverseFunctionExpressions.wl
AsymptoticInverse/Kernel/InverseCertificates.wl,full file through successive windows,interval arithmetic and scope,c447755ab58f02aa8a80fa374329e00d6ff9641e,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/InverseCertificates.wl
AsymptoticInverse/Kernel/IncrementalInverse.wl,1-155,states caches Newton,11e74e13a35d73bb659e3a827b755c14c8fe9b37,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/IncrementalInverse.wl
AsymptoticInverse/Kernel/SourceCoordinates.wl,1-140,coordinate reconstruction,,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/SourceCoordinates.wl
AsymptoticInverse/Kernel/GammaInverse.wl,1-150,special inverse coefficients and cores,e46c1046f8d9af7a67f4a132c0b3cb6767ca2aea,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/GammaInverse.wl
AsymptoticInverse/Kernel/NativeSpecialFunctions.wl,1-150 and 250-end,native adapters and error trees,86ade501d64b0ec9a6cc42a4d9e37bbd580d1485,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Kernel/NativeSpecialFunctions.wl
AsymptoticInverse/Documentation/UserGuide.md,1-300,documented interfaces and conventions,,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/Documentation/UserGuide.md
AsymptoticInverse/PacletInfo.wl,full file,version license extensions,f41b43c96baf759f7f45256890cb73c097fe977a,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/AsymptoticInverse/PacletInfo.wl
README.md,connector read,repository overview,,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/README.md
validation/README.md,1-150,reported validation and timings,,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/validation/README.md
validation/FocusedTests.wl,full file,native runner design,95051a84a824f63754cb63b9b89efdea5d905fce,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/validation/FocusedTests.wl
.github/workflows/standalone.yml,full file,CI scope,2ec5fd70e9a297009ec8ddbf7e47545b929f0987,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/.github/workflows/standalone.yml
docs/development/README.md,full returned text,distribution provenance,af48e55e87503e000ebdd9ebd4cd3c09c43ed60d,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/docs/development/README.md
article/asymptotic-inverse.tex,top-level source; not all included sections,mathematical article scope,96c659e42efa6a180c9b7216e5eff31d6001de79,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/article/asymptotic-inverse.tex
LICENSE,full file,MIT No Attribution text,7d2b7fa09617f2024f157a40a318f4b12586644b,https://github.com/VladimirReshetnikov/Asymptotic/blob/07a9781212beb2eeb9ff16aa625b50ac27974078/LICENSE
