id,priority,title,evidence,native_status,location,fix,artifact
F01,High,Unbounded eager dense SeriesData conversion,Source-confirmed allocation; exact size checked independently,Not executed,Kernel/AsymptoticInverse.wl: makeSeriesData and makeInverseSeriesData,Avoid trailing padding; cap or lazily compute optional native view,emit_patch_proposals.py; AuditRegressions.wlt
F02,High,Nested observable bypasses real-power guard,Source-derived public control flow; mathematical real-branch counterexample,Pending reproduction,Kernel/AsymptoticInverse.wl: fwdPower; Kernel/SeriesOperations.wl: seriesPower and seriesJetApply,Move finite pure-remainder noninteger-power guard into shared primitive,emit_patch_proposals.py; AuditRegressions.wlt
F03,High to investigate,Unseen native logarithmic tail assigned degree zero,Unsafe inference identified; elliptic tail derivation and numeric reference checked,Native shape and public reachability unverified,Kernel/AsymptoticInverse.wl: fwdSeries; compare Kernel/NativeSpecialFunctions.wl: specialNativeTree,Shared native importer; conservative exponent loss under an explicit admitted tail contract,ProbeNativeTail.wls; optional emit_patch_proposals.py flag; independent_checks.py
F04,Medium,Forward constant coefficient realness not uniformly checked,Source-derived contract inconsistency,Pending reproduction,Kernel/AsymptoticInverse.wl: pConst and fwd constant arm,Central coefficient-domain validator and explicit real/formal policy,AuditRegressions.wlt; not implemented by emitter
F05,Medium,Commensurate flat rates restricted to multiples of minimum,Explicit source restriction; exact rational normalization checked,Pending reproduction,Kernel/FlatSectors.wl: flatModel,Fundamental rate from rational gcd; cap normalized degree,emit_patch_proposals.py; independent_checks.py; AuditRegressions.wlt
E01,High process priority,Latest focused tests do not constitute a full native release gate,Repository validation record and inspected workflow,No independent full suite,validation/README.md; .github/workflows/standalone.yml,"Native smoke and complete release suites, source/version/skip manifests",Article roadmap
E02,Medium,Order/resource/observable/result semantics vary across families,Documented API and inspected dispatch,Design review,UserGuide.md; core/options; SeriesOperations.wl; GammaInverse.wl,"Typed requests, requested/effective method, schema/evidence contracts",Article API and architecture proposals
E03,Low,License text and identifiers disagree,Root MIT No Attribution text versus MIT header/paclet metadata,Not applicable,LICENSE; main kernel SPDX header; PacletInfo.wl,Align intended license text and identifiers consistently,Article; upstream-LICENSE.txt
E04,Medium UX,Certificate automatic interval default is rejected as missing interval,Options and immediate validation in source,Source-derived,Kernel/InverseCertificates.wl: InverseCertificate options/entry,Require interval explicitly or implement bounded verified interval discovery,Article certificate section
R01,Review target,Domain transport at uncertain composition boundaries,"Design risk, not established public bug",Unverified,Kernel/SeriesOperations.wl: composition domain construction,Jet-aware eventual-domain transport and boundary tests,Article further correctness boundaries
R02,Profiling target,Provenance expression growth and hidden proof costs,Inspected data-flow; no performance regression measured,Unmeasured,Operations/provenance recipes; simplification and normalization helpers,"Counters, bounded request context, optional provenance DAG",Article performance plan
